,importance
feachan__frange__last_segseg__range__close_rolling_96_exp_mean__range_diff,3765.189453125
feachan__frange__now_seg__range__atrz_100_6__range_mean,2072.87255859375
feachan__fpoint__now_seg__end__bbands_normal_96__point,1591.4620361328125
feachan__fpoint__last_seg__end__macd_48__point,1544.0328369140625
feachan__frange__now_segseg__range__atrz_100_6__range_mean,1462.0162353515625
feachan__frange__now_seg__range__bbands_normal_96__range_mean,1315.73876953125
feachan__frange__last_seg__range__bbands_normal_96__range_mean,1057.9039306640625
feachan__frange__last_seg__range__atrz_100_6__range_mean,953.0596923828125
feachan__frange__last_segseg__range__atrz_100_6__range_diff,864.171142578125
feachan__fpoint__last_segseg__end__atrz_100_1__point,830.5969848632812
feachan__fpoint__last_segseg__end__atrz_100_6__point,694.3422241210938
feachan__frange__last_segseg__range__macd_96__range_diff,634.6246337890625
feachan__fpoint__last_seg__end__atrz_100_6__point,622.9246826171875
feachan__fpoint__now_seg__end__bbands_normal_24__point,581.83447265625
feachan__frange__last_segseg__range__atrz_100_1__range_mean,547.7584228515625
feachan__frange__now_segseg__range__bbands_normal_3__range_diff_rate,478.95819091796875
feachan__frange__now_segseg__range__close_rolling_6_mean__range_diff,474.7904357910156
feachan__frange__last_segseg__range__K36__range_diff_rate_abs,451.33251953125
feachan__frange__now_segseg__range__bbands_normal_1__range_diff_rate,441.55218505859375
feachan__frange__last_segseg__range__close_rolling_6_mean__range_diff,420.2742614746094
feachan__frange__last_seg__range__close_rolling_480_exp_mean__range_diff,417.5657043457031
feachan__frange__now_segseg__range__macd_96__range_diff,416.2763671875
feachan__frange__last_segseg__range__macdsignal_96__range_diff,402.56500244140625
feachan__now_segseg__support_trend_line_slope_abs,399.54766845703125
feachan__frange__now_segseg__range__macd_96__range_diff_rate,368.967529296875
feachan__fpoint__now_segseg__end__atrz_100_6__point,356.98828125
feachan__frange__last_segseg__range__close_rolling_24_exp_mean__range_diff,351.00909423828125
feachan__frange__now_segseg__range__macdsignal_96__range_diff_rate,337.24639892578125
feachan__fpoint__now_seg__end__bbands_normal_48__point,332.2184753417969
feachan__frange__now_segseg__range__bbands_normal_48__range_mean,314.10211181640625
feachan__fpoint__now_segseg__end__macdhist_48__point,310.91796875
feachan__now_segseg__support_trend_line_slope,302.82537841796875
feachan__frange__last_segseg__range__close_rolling_2880_std_mean__range_diff_rate,299.85028076171875
feachan__frange__now_segseg__range__macd_signal_6__range_mean,295.456298828125
feachan__fpoint__now_seg__end__macd_12__point,279.4066162109375
feachan__frange__last_seg__range__macd_48__range_diff_rate,275.55633544921875
feachan__frange__last_segseg__range__esv_48__range_diff_abs,261.61370849609375
feachan__frange__last_seg__range__close_rolling_24_exp_mean__range_diff_abs,252.32498168945312
feachan__frange__last_segseg__range__amount_normalize60_rolling_480_std__range_diff_abs,246.94952392578125
feachan__frange__last_segseg__range__K18__range_diff_rate_abs_log,244.6913299560547
feachan__fpoint__last_segseg__end__atrz_100_1__point_abs,242.7080535888672
feachan__fpoint__last_segseg__end__close_rolling_96_std__point,239.79351806640625
feachan__fcmp__last_segseg__range_rate13_cmp__atrz_100_1__cmp_2mean,238.27081298828125
feachan__frange__last_seg__range__close_rolling_96_exp_mean__range_diff_abs,237.57057189941406
feachan__frange__last_segseg__range__close_rolling_24_mean__range_diff,231.15679931640625
feachan__fpoint__now_seg__end__atrz_100_6__point,230.79483032226562
feachan__now_segseg__range_rate12_abs_log,230.59042358398438
feachan__frange__last_segseg__range__close_rolling_24_std__range_diff,229.06356811523438
feachan__frange__last_segseg__range__atrz_20_1__range_mean_abs,227.30126953125
feachan__frange__last_segseg__range__K144__range_diff_rate,224.7686767578125
feachan__fpoint__now_segseg__end__macdhist_96__point,220.90185546875
feachan__frange__last_seg__range__close_rolling_24_exp_mean__range_diff_abs_log,219.09739685058594
feachan__fpoint__now_seg__end__bbands_normal_12__point,218.52801513671875
feachan__fcmp__last_segseg__range_rate12_cmp__macdhist_96__cmp_2sum,200.81192016601562
feachan__frange__last_seg__range__bbands_normal_96__range_diff_abs,196.533935546875
feachan__frange__now_segseg__range__close_rolling_24_exp_mean__range_diff,190.0238494873047
feachan__fpoint__now_seg__end__close_rolling_2880_std_mean__point_abs_log,186.217529296875
feachan__frange__last_segseg__range__macd_96__range_diff_abs,184.9485626220703
feachan__fpoint__now_segseg__end__atrz_50_20__point,180.4952392578125
feachan__frange__now_seg__range__macdhist_96__range_mean,177.2113037109375
feachan__frange__last_seg__range__bbands_normal_96__range_diff_abs_log,168.79849243164062
feachan__frange__last_seg__zs1before__atrz_100_6__range_mean,164.64463806152344
feachan__fcmp__last_segseg__range_rate12_cmp__close_rolling_2880_std_mean__cmp_2mean,149.46377563476562
feachan__frange__last_segseg__range__esv_96__range_diff,148.67047119140625
feachan__frange__last_segseg__range__amount_48_seasonal_rolling_60_meancorr__range,148.47592163085938
feachan__frange__last_segseg__range__K36__range_diff_rate,140.22824096679688
feachan__frange__last_seg__range__close_rolling_2880_std_mean__range_mean,138.92117309570312
feachan__fcmp__last_segseg__range_rate12_cmp__atrz_100_1__cmp_2sum,136.18087768554688
feachan__fpoint__last_segseg__end__atrz_20_1__point,129.37342834472656
feachan__fpoint__now_seg__end__close_rolling_480_std_mean__point_abs_log,126.80570983886719
feachan__frange__last_segseg__range__atrz_100_1__range_mean_abs,123.41093444824219
feachan__frange__last_segseg__range__K144__range_diff_rate_abs,123.00640869140625
feachan__now_segseg__range_rate12,120.982421875
feachan__frange__last_segseg__range__macd_histogram_6__range_diff_abs,115.82672119140625
feachan__frange__last_segseg__range__close_rolling_24_mean__range_diff_abs,114.56005859375
feachan__frange__now_segseg__range__K144__range_mean,113.74857330322266
feachan__fcmp__now_segseg__range_rate13_cmp__close_rolling_480_std_mean__cmp_2mean_abs_log,113.48187255859375
feachan__fcmp__last_segseg__range_rate12_cmp__atrz_100_6__cmp_2mean_abs,112.9317626953125
feachan__fpoint__now_segseg__end__macd_48__point,111.86299133300781
feachan__frange__last_segseg__range__amount_normalize60__range_mean,107.78038787841797
feachan__frange__last_segseg__range__atrz_100_6__range_mean,107.4930419921875
feachan__fcmp__last_segseg__range_rate12_cmp__atrz_100_1__cmp_1sum,104.80937957763672
feachan__frange__last_seg__range__macdhist_96__range_mean,104.77838134765625
feachan__frange__last_segseg__range__ev_96__range_mean,104.11479187011719
feachan__frange__last_segseg__range__amount_normalize60_rolling_24_std__range_mean_abs_log,102.99593353271484
