,importance
feachan__frange__last_segseg__range__close_rolling_480_mean__range_diff,1099.930419921875
feachan__frange__last_segseg__range__close_rolling_480_exp_mean__range_diff,933.145263671875
feachan__frange__last_segseg__range__bbands_normal_96__range_diff,532.2206420898438
feachan__frange__last_seg__range__atrz_100_6__range_mean,406.92388916015625
feachan__frange__last_segseg__range__close_rolling_2880_std_mean__range_mean,391.0014343261719
feachan__fpoint__last_segseg__end__macdhist_96__point,358.58807373046875
feachan__frange__last_segseg__range__close_rolling_96_exp_mean__range_diff,285.74591064453125
feachan__frange__last_segseg__range__close_rolling_2880_std_mean__range_mean_abs_log,265.4154052734375
feachan__frange__now_segseg__range__macdhist_96__range_mean,242.41558837890625
feachan__frange__last_segseg__range__atrz_100_6__range_mean,215.62367248535156
feachan__frange__now_segseg__range__atrz_100_6__range_mean,195.114013671875
feachan__frange__last_seg__range__amount_normalize60_rolling_96_std__range_mean,186.10098266601562
feachan__frange__last_segseg__range__amount_normalize60_rolling_24_std__range_mean,169.68545532226562
feachan__frange__now_seg__range__macdhist_48__range_mean,159.856201171875
feachan__frange__last_seg__range__macdhist_96__range_diff,147.8396759033203
feachan__fpoint__last_segseg__end__amount_normalize60_rolling_480_std_mean__point_abs_log,146.6683349609375
feachan__frange__last_segseg__range__close_rolling_480_std_mean__range_mean,140.2364044189453
feachan__fcmp__last_segseg__range_rate12_cmp__atrz_100_1__cmp_1sum_abs_log,76.84609985351562
