create_date	created_ts
2016-07-31	84
2016-08-31	158
2016-09-30	246
2016-10-31	443
2016-11-30	1400
2016-12-31	996
2017-01-31	1104
2017-02-28	828
2017-03-31	947
2017-04-30	844
2017-05-31	839
2017-06-30	768
2017-07-31	637
2017-08-31	1106
2017-09-30	771
2017-10-31	625
2017-11-30	993
2017-12-31	1034
2018-01-31	1097
2018-02-28	634
2018-03-31	1107
2018-04-30	1115
2018-05-31	1604
2018-06-30	1267
2018-07-31	1511
2018-08-31	1562
2018-09-30	1673
2018-10-31	1535
2018-11-30	1751
2018-12-31	2183
2019-01-31	2601
2019-02-28	1208
2019-03-31	2254
2019-04-30	1818
2019-05-31	1781
2019-06-30	1893
2019-07-31	1817
2019-08-31	1970
2019-09-30	2317
2019-10-31	2124
2019-11-30	2615
2019-12-31	3476
2020-01-31	1805
2020-02-29	1196
2020-03-31	2106
2020-04-30	1593
2020-05-31	1256
2020-06-30	1685
2020-07-31	1937
2020-08-31	2080
2020-09-30	2509
2020-10-31	2402
2020-11-30	2876
2020-12-31	4467
2021-01-31	3109
2021-02-28	2703
2021-03-31	4014
2021-04-30	2902
2021-05-31	2315
2021-06-30	2795
2021-07-31	2578
2021-08-31	3112
2021-09-30	3336
2021-10-31	2666
2021-11-30	3892
2021-12-31	5157
2022-01-31	3695
2022-02-28	3028
2022-03-31	4633
2022-04-30	2470
2022-05-31	2208
2022-06-30	2711
2022-07-31	3692
2022-08-31	4515
2022-09-30	4050
2022-10-31	3607
2022-11-30	4840
2022-12-31	4751
2023-01-31	3253
2023-02-28	4526
2023-03-31	5022
2023-04-30	3927
2023-05-31	4405
2023-06-30	4219
2023-07-31	4450
2023-08-31	5156
2023-09-30	1925
