code	sse	code	volunit	decimal_point	name	pre_close	sse	sec
159001	sz	159001	100.0	3.0	货币ETF	99.9990005493164	sz	etf_cn
159003	sz	159003	100.0	3.0	招商快线	99.98500061035156	sz	etf_cn
159005	sz	159005	100.0	3.0	添富快钱	99.99700164794922	sz	etf_cn
159006	sz	159006	100.0	3.0	快钱B	5.877471754111438e-39	sz	etf_cn
159501	sz	159501	100.0	3.0	纳指基金	1.0479999780654907	sz	etf_cn
159503	sz	159503	100.0	3.0	财富管理	5.877471754111438e-39	sz	etf_cn
159506	sz	159506	100.0	3.0	恒生医疗	5.877471754111438e-39	sz	etf_cn
159507	sz	159507	100.0	3.0	电信ETF	32768.50100004673	sz	etf_cn
159508	sz	159508	100.0	3.0	生物医药	5.877471754111438e-39	sz	etf_cn
159509	sz	159509	100.0	3.0	纳指科技	5.877471754111438e-39	sz	etf_cn
159512	sz	159512	100.0	3.0	汽车ETF	5.877471754111438e-39	sz	etf_cn
159513	sz	159513	100.0	3.0	纳斯达克	5.877471754111438e-39	sz	etf_cn
159601	sz	159601	100.0	3.0	A50ETF	17152.501281261444	sz	etf_cn
159602	sz	159602	100.0	3.0	中国A50	16896.502187490463	sz	etf_cn
159603	sz	159603	100.0	3.0	双创天弘	23808.501718759537	sz	etf_cn
159605	sz	159605	100.0	3.0	互联中概	16640.503093779087	sz	etf_cn
159606	sz	159606	100.0	3.0	500成长	20480.500500023365	sz	etf_cn
159607	sz	159607	100.0	3.0	中概互联	16640.503093779087	sz	etf_cn
159608	sz	159608	100.0	3.0	稀有金属	10496.500843763351	sz	etf_cn
159609	sz	159609	100.0	3.0	光伏龙头	13824.503062486649	sz	etf_cn
159610	sz	159610	100.0	3.0	500增强	20992.501687526703	sz	etf_cn
159611	sz	159611	100.0	3.0	电力ETF	28928.502593755722	sz	etf_cn
159612	sz	159612	100.0	3.0	国泰标普	1.1890000104904175	sz	etf_cn
159613	sz	159613	100.0	3.0	嘉实信安	28160.501312494278	sz	etf_cn
159615	sz	159615	100.0	3.0	生科ETF	20224.50240623951	sz	etf_cn
159616	sz	159616	100.0	3.0	农牧ETF	16640.502093732357	sz	etf_cn
159617	sz	159617	100.0	3.0	500价值	1.059999942779541	sz	etf_cn
159618	sz	159618	100.0	3.0	光伏华安	32000.502718746662	sz	etf_cn
159619	sz	159619	100.0	3.0	基建ETF	32256.50281250477	sz	etf_cn
159620	sz	159620	100.0	3.0	500创新	28416.50240623951	sz	etf_cn
159621	sz	159621	100.0	3.0	MSESGE	28928.503593742847	sz	etf_cn
159622	sz	159622	100.0	3.0	创新药AH	24320.502906262875	sz	etf_cn
159623	sz	159623	100.0	3.0	成渝ETF	23808.503718733788	sz	etf_cn
159625	sz	159625	100.0	3.0	绿色电力	1.0989999771118164	sz	etf_cn
159627	sz	159627	100.0	3.0	100ETF	1.0130000114440918	sz	etf_cn
159628	sz	159628	100.0	3.0	国证2000	1.0149999856948853	sz	etf_cn
159629	sz	159629	100.0	3.0	1000ET	2498.0056250095367	sz	etf_cn
159630	sz	159630	100.0	3.0	中证100F	1.0549999475479126	sz	etf_cn
159631	sz	159631	100.0	3.0	中证100P	27392.501031279564	sz	etf_cn
159632	sz	159632	100.0	3.0	纳斯达克	1.25600004196167	sz	etf_cn
159633	sz	159633	100.0	3.0	ZZ1000	1.9630000591278076	sz	etf_cn
159635	sz	159635	100.0	3.0	基建50	1.065999984741211	sz	etf_cn
159636	sz	159636	100.0	3.0	港科技30	21248.50078123808	sz	etf_cn
159637	sz	159637	100.0	3.0	新能龙头	15360.500625014305	sz	etf_cn
159638	sz	159638	100.0	3.0	高端装备	23808.503718733788	sz	etf_cn
159639	sz	159639	100.0	3.0	碳中和NF	18432.500750005245	sz	etf_cn
159640	sz	159640	100.0	3.0	碳中和ET	18432.502749979496	sz	etf_cn
159641	sz	159641	100.0	3.0	双碳ETF	19200.501031279564	sz	etf_cn
159642	sz	159642	100.0	3.0	DC碳中和	18944.50293749571	sz	etf_cn
159643	sz	159643	100.0	3.0	疫苗ETF	17664.503468751907	sz	etf_cn
159645	sz	159645	100.0	3.0	疫苗龙头	24832.500093758106	sz	etf_cn
159646	sz	159646	100.0	3.0	疫苗	18176.50065624714	sz	etf_cn
159647	sz	159647	100.0	3.0	中药ETF	1.1740000247955322	sz	etf_cn
159649	sz	159649	100.0	3.0	国开债	101.87999725341797	sz	etf_cn
159650	sz	159650	100.0	3.0	国开ETF	101.5469970703125	sz	etf_cn
159651	sz	159651	100.0	3.0	国开0-3	101.44999694824219	sz	etf_cn
159652	sz	159652	100.0	3.0	有色基金	23040.503437519073	sz	etf_cn
159653	sz	159653	100.0	3.0	ESG300	29696.50187498331	sz	etf_cn
159655	sz	159655	100.0	3.0	标普ETF	1.1510000228881836	sz	etf_cn
159656	sz	159656	100.0	3.0	300成长	25856.503468751907	sz	etf_cn
159657	sz	159657	100.0	3.0	生物疫苗	20480.502499997616	sz	etf_cn
159658	sz	159658	100.0	3.0	数字经济	1.1269999742507935	sz	etf_cn
159659	sz	159659	100.0	3.0	纳指	1.2000000476837158	sz	etf_cn
159660	sz	159660	100.0	3.0	纳指100	1.1979999542236328	sz	etf_cn
159662	sz	159662	100.0	3.0	交运ETF	29440.502781271935	sz	etf_cn
159663	sz	159663	100.0	3.0	机床ETF	1.0490000247955322	sz	etf_cn
159665	sz	159665	100.0	3.0	芯片龙头	1.0399999618530273	sz	etf_cn
159666	sz	159666	100.0	3.0	交通运输	27648.502125024796	sz	etf_cn
159667	sz	159667	100.0	3.0	工业母机	1.0299999713897705	sz	etf_cn
159669	sz	159669	100.0	3.0	绿电ETF	1.0190000534057617	sz	etf_cn
159670	sz	159670	100.0	3.0	消费基金	30464.503156244755	sz	etf_cn
159671	sz	159671	100.0	3.0	稀金属	21248.502781271935	sz	etf_cn
159672	sz	159672	100.0	3.0	主要消费	25088.500187516212	sz	etf_cn
159673	sz	159673	100.0	3.0	鹏华沪深	5.877471754111438e-39	sz	etf_cn
159675	sz	159675	100.0	3.0	创业增强	24320.50090622902	sz	etf_cn
159676	sz	159676	100.0	3.0	创业板增	26880.50084376335	sz	etf_cn
159677	sz	159677	100.0	3.0	1000增强	1.0379999876022339	sz	etf_cn
159678	sz	159678	100.0	3.0	500指增	29440.50378125906	sz	etf_cn
159679	sz	159679	100.0	3.0	1000增	29184.503687500954	sz	etf_cn
159680	sz	159680	100.0	3.0	1000指增	1.0369999408721924	sz	etf_cn
159681	sz	159681	100.0	3.0	创50ETF	26112.50256252289	sz	etf_cn
159682	sz	159682	100.0	3.0	创业五零	25600.50137501955	sz	etf_cn
159683	sz	159683	100.0	3.0	运输ETF	28160.502312481403	sz	etf_cn
159685	sz	159685	100.0	3.0	1000策略	32512.50190627575	sz	etf_cn
159686	sz	159686	100.0	3.0	ZZ100	32768.5	sz	etf_cn
159687	sz	159687	100.0	3.0	亚太低碳	1.090000033378601	sz	etf_cn
159688	sz	159688	100.0	3.0	恒生互联	23296.50353127718	sz	etf_cn
159689	sz	159689	100.0	3.0	消费NF	25088.501187503338	sz	etf_cn
159690	sz	159690	100.0	3.0	矿业ETF	5.877471754111438e-39	sz	etf_cn
159691	sz	159691	100.0	3.0	高股息HK	29440.50378125906	sz	etf_cn
159692	sz	159692	100.0	3.0	证券30	28160.500312507153	sz	etf_cn
159695	sz	159695	100.0	3.0	通信ETF	1.0959999561309814	sz	etf_cn
159696	sz	159696	100.0	3.0	纳100ET	32768.5	sz	etf_cn
159697	sz	159697	100.0	3.0	油气ETF	29440.50378125906	sz	etf_cn
159698	sz	159698	100.0	3.0	粮食ETF	5.877471754111438e-39	sz	etf_cn
159701	sz	159701	100.0	3.0	物联50	18432.500750005245	sz	etf_cn
159703	sz	159703	100.0	3.0	新材料	18176.50265622139	sz	etf_cn
159706	sz	159706	100.0	3.0	深100E	14336.50024998188	sz	etf_cn
159707	sz	159707	100.0	3.0	地产ETF	19712.502218723297	sz	etf_cn
159708	sz	159708	100.0	3.0	红利ETF	15872.502812504768	sz	etf_cn
159709	sz	159709	100.0	3.0	物联基金	24064.500812470913	sz	etf_cn
