code	sse	code	volunit	decimal_point	name	pre_close	sse	sec
395000	sz	395000	100.0	2.0	辅助代码	5.877471754111438e-39	sz	index_cn
395001	sz	395001	100.0	2.0	主板Ａ股	1516.0	sz	index_cn
395002	sz	395002	100.0	2.0	主板Ｂ股	192.0	sz	index_cn
395004	sz	395004	100.0	2.0	创业板	1282.0	sz	index_cn
395005	sz	395005	100.0	2.0	主板DR	5.877471754111438e-39	sz	index_cn
395006	sz	395006	100.0	2.0	创业板DR	5.877471754111438e-39	sz	index_cn
395011	sz	395011	100.0	2.0	封闭基金	32768.5	sz	index_cn
395012	sz	395012	100.0	2.0	ＬＯＦｓ	296.0	sz	index_cn
395013	sz	395013	100.0	2.0	ＥＴＦｓ	307.0	sz	index_cn
395015	sz	395015	100.0	2.0	REITS	264.0	sz	index_cn
395032	sz	395032	100.0	2.0	债券回购	264.0	sz	index_cn
395033	sz	395033	100.0	2.0	债券现货	11763.0	sz	index_cn
395034	sz	395034	100.0	2.0	ABS	1147.0	sz	index_cn
395041	sz	395041	100.0	2.0	股票权证	5.877471754111438e-39	sz	index_cn
395099	sz	395099	100.0	2.0	总 成 交	2840.0	sz	index_cn
399001	sz	399001	100.0	2.0	深证成指	10915.4990234375	sz	index_cn
399002	sz	399002	100.0	2.0	深成指R	14007.28125	sz	index_cn
399003	sz	399003	100.0	2.0	成份Ｂ指	7699.83984375	sz	index_cn
399004	sz	399004	100.0	2.0	深证100R	6592.6416015625	sz	index_cn
399005	sz	399005	100.0	2.0	中小100	7153.55419921875	sz	index_cn
399006	sz	399006	100.0	2.0	创业板指	2180.0625	sz	index_cn
399007	sz	399007	100.0	2.0	深证300	4632.16259765625	sz	index_cn
399008	sz	399008	100.0	2.0	中小300	1413.1663818359375	sz	index_cn
399009	sz	399009	100.0	2.0	深证200	4033.939697265625	sz	index_cn
399010	sz	399010	100.0	2.0	深证700	7066.3720703125	sz	index_cn
399011	sz	399011	100.0	2.0	深证1000	5299.37353515625	sz	index_cn
399012	sz	399012	100.0	2.0	创业300	3200.879150390625	sz	index_cn
399013	sz	399013	100.0	2.0	深市精选	4871.447265625	sz	index_cn
399015	sz	399015	100.0	2.0	中小创新	2419.555419921875	sz	index_cn
399016	sz	399016	100.0	2.0	深证创新	4552.212890625	sz	index_cn
399017	sz	399017	100.0	2.0	SME创新	3850.50830078125	sz	index_cn
399018	sz	399018	100.0	2.0	创业创新	4618.38818359375	sz	index_cn
399030	sz	399030	100.0	2.0	碳科技30	3514.9697265625	sz	index_cn
399050	sz	399050	100.0	2.0	创新引擎	2635.15576171875	sz	index_cn
399060	sz	399060	100.0	2.0	碳科技60	2832.94189453125	sz	index_cn
399088	sz	399088	100.0	2.0	深创100	3574.87841796875	sz	index_cn
399100	sz	399100	100.0	2.0	新指数	9394.890625	sz	index_cn
399101	sz	399101	100.0	2.0	中小综指	11762.9013671875	sz	index_cn
399102	sz	399102	100.0	2.0	创业板综	2799.013916015625	sz	index_cn
399103	sz	399103	100.0	2.0	乐富指数	7002.86669921875	sz	index_cn
399106	sz	399106	100.0	2.0	深证综指	2027.32470703125	sz	index_cn
399107	sz	399107	100.0	2.0	深证Ａ指	2120.939697265625	sz	index_cn
