code	sse	code	volunit	decimal_point	name	pre_close	sse	sec
395001	sz	395001	100.0	2.0	主板Ａ股	1507.0	sz	index_cn
395002	sz	395002	100.0	2.0	主板Ｂ股	176.0	sz	index_cn
395004	sz	395004	100.0	2.0	创业板	1297.0	sz	index_cn
395005	sz	395005	100.0	2.0	主板DR	5.877471754111438e-39	sz	index_cn
395006	sz	395006	100.0	2.0	创业板DR	5.877471754111438e-39	sz	index_cn
395011	sz	395011	100.0	2.0	封闭基金	32768.5	sz	index_cn
395012	sz	395012	100.0	2.0	ＬＯＦｓ	296.0	sz	index_cn
395013	sz	395013	100.0	2.0	ＥＴＦｓ	315.0	sz	index_cn
395015	sz	395015	100.0	2.0	REITS	264.0	sz	index_cn
395032	sz	395032	100.0	2.0	债券回购	264.0	sz	index_cn
395033	sz	395033	100.0	2.0	债券现货	11960.0	sz	index_cn
395034	sz	395034	100.0	2.0	ABS	1172.0	sz	index_cn
395041	sz	395041	100.0	2.0	股票权证	5.877471754111438e-39	sz	index_cn
395099	sz	395099	100.0	2.0	总 成 交	2845.0	sz	index_cn
399001	sz	399001	100.0	2.0	深证成指	11183.9111328125	sz	index_cn
399002	sz	399002	100.0	2.0	深成指R	14387.15625	sz	index_cn
399003	sz	399003	100.0	2.0	成份Ｂ指	8436.2470703125	sz	index_cn
399004	sz	399004	100.0	2.0	深证100R	6894.064453125	sz	index_cn
399005	sz	399005	100.0	2.0	中小100	7233.5458984375	sz	index_cn
399006	sz	399006	100.0	2.0	创业板指	2236.673095703125	sz	index_cn
399007	sz	399007	100.0	2.0	深证300	4763.1826171875	sz	index_cn
399008	sz	399008	100.0	2.0	中小300	1425.3482666015625	sz	index_cn
399009	sz	399009	100.0	2.0	深证200	4027.6533203125	sz	index_cn
399010	sz	399010	100.0	2.0	深证700	7074.87890625	sz	index_cn
399011	sz	399011	100.0	2.0	深证1000	5404.18408203125	sz	index_cn
399012	sz	399012	100.0	2.0	创业300	3225.67724609375	sz	index_cn
399013	sz	399013	100.0	2.0	深市精选	4984.306640625	sz	index_cn
399015	sz	399015	100.0	2.0	中小创新	2416.943359375	sz	index_cn
399016	sz	399016	100.0	2.0	深证创新	4414.57421875	sz	index_cn
399017	sz	399017	100.0	2.0	SME创新	3725.602294921875	sz	index_cn
399018	sz	399018	100.0	2.0	创业创新	4478.28564453125	sz	index_cn
399030	sz	399030	100.0	2.0	碳科技30	3578.5947265625	sz	index_cn
399050	sz	399050	100.0	2.0	创新引擎	2709.12939453125	sz	index_cn
399060	sz	399060	100.0	2.0	碳科技60	2880.897705078125	sz	index_cn
399088	sz	399088	100.0	2.0	深创100	3630.3935546875	sz	index_cn
399100	sz	399100	100.0	2.0	新指数	9619.6943359375	sz	index_cn
399101	sz	399101	100.0	2.0	中小综指	11950.712890625	sz	index_cn
399102	sz	399102	100.0	2.0	创业板综	2800.671875	sz	index_cn
399103	sz	399103	100.0	2.0	乐富指数	7238.07861328125	sz	index_cn
399106	sz	399106	100.0	2.0	深证综指	2069.505859375	sz	index_cn
399107	sz	399107	100.0	2.0	深证Ａ指	2164.8720703125	sz	index_cn
399108	sz	399108	100.0	2.0	深证Ｂ指	1225.671875	sz	index_cn
399231	sz	399231	100.0	2.0	农林指数	1405.3443603515625	sz	index_cn
399232	sz	399232	100.0	2.0	采矿指数	2540.712158203125	sz	index_cn
399233	sz	399233	100.0	2.0	制造指数	2617.18310546875	sz	index_cn
399234	sz	399234	100.0	2.0	水电指数	909.8541870117188	sz	index_cn
399235	sz	399235	100.0	2.0	建筑指数	1195.8946533203125	sz	index_cn
399236	sz	399236	100.0	2.0	批零指数	1332.177001953125	sz	index_cn
399237	sz	399237	100.0	2.0	运输指数	1134.1201171875	sz	index_cn
399238	sz	399238	100.0	2.0	餐饮指数	2155.62255859375	sz	index_cn
399239	sz	399239	100.0	2.0	IT指数	1773.5799560546875	sz	index_cn
399240	sz	399240	100.0	2.0	金融指数	1253.8321533203125	sz	index_cn
399241	sz	399241	100.0	2.0	地产指数	1815.698974609375	sz	index_cn
399242	sz	399242	100.0	2.0	商务指数	1172.64501953125	sz	index_cn
399243	sz	399243	100.0	2.0	科研指数	1547.129150390625	sz	index_cn
399244	sz	399244	100.0	2.0	公共指数	626.4963989257812	sz	index_cn
399248	sz	399248	100.0	2.0	文化指数	903.0596923828125	sz	index_cn
399249	sz	399249	100.0	2.0	综企指数	1140.7633056640625	sz	index_cn
399262	sz	399262	100.0	2.0	数字经济	1863.614990234375	sz	index_cn
399263	sz	399263	100.0	2.0	创业数字	1678.1856689453125	sz	index_cn
399264	sz	399264	100.0	2.0	创新技术	1308.104248046875	sz	index_cn
399265	sz	399265	100.0	2.0	创新药械	1242.4698486328125	sz	index_cn
399266	sz	399266	100.0	2.0	创新能源	2778.64208984375	sz	index_cn
399269	sz	399269	100.0	2.0	创质量	4842.87939453125	sz	index_cn
399274	sz	399274	100.0	2.0	深新基建	3695.93359375	sz	index_cn
399275	sz	399275	100.0	2.0	创医药	3505.421630859375	sz	index_cn
399276	sz	399276	100.0	2.0	创科技	5113.78857421875	sz	index_cn
399277	sz	399277	100.0	2.0	公共健康	2842.590576171875	sz	index_cn
399278	sz	399278	100.0	2.0	长江100	1836.91748046875	sz	index_cn
399279	sz	399279	100.0	2.0	云科技50	3116.46484375	sz	index_cn
399280	sz	399280	100.0	2.0	生物50	2650.375	sz	index_cn
399281	sz	399281	100.0	2.0	电子50	2743.1396484375	sz	index_cn
399282	sz	399282	100.0	2.0	大数据50	4538.01171875	sz	index_cn
399283	sz	399283	100.0	2.0	机器人50	3292.27001953125	sz	index_cn
399284	sz	399284	100.0	2.0	AI 50	3497.45556640625	sz	index_cn
399285	sz	399285	100.0	2.0	物联网50	3939.0693359375	sz	index_cn
399286	sz	399286	100.0	2.0	区块链50	3293.876953125	sz	index_cn
399289	sz	399289	100.0	2.0	碳中和债	109.71009826660156	sz	index_cn
399290	sz	399290	100.0	2.0	深转交债	167.11740112304688	sz	index_cn
399291	sz	399291	100.0	2.0	创精选88	3748.302734375	sz	index_cn
399292	sz	399292	100.0	2.0	民企发展	1035.2984619140625	sz	index_cn
399293	sz	399293	100.0	2.0	创业大盘	4182.9345703125	sz	index_cn
399294	sz	399294	100.0	2.0	中小创Q	2963.189453125	sz	index_cn
399295	sz	399295	100.0	2.0	创价值	4752.26171875	sz	index_cn
399296	sz	399296	100.0	2.0	创成长	4954.96337890625	sz	index_cn
399297	sz	399297	100.0	2.0	新浪100	4397.77587890625	sz	index_cn
399298	sz	399298	100.0	2.0	深信中高	195.8583984375	sz	index_cn
399299	sz	399299	100.0	2.0	深信中低	227.72250366210938	sz	index_cn
399300	sz	399300	100.0	2.0	沪深300	4014.630126953125	sz	index_cn
399301	sz	399301	100.0	2.0	深信用债	199.3916015625	sz	index_cn
399302	sz	399302	100.0	2.0	深公司债	203.37750244140625	sz	index_cn
399303	sz	399303	100.0	2.0	国证2000	8078.27880859375	sz	index_cn
399306	sz	399306	100.0	2.0	深证ETF	1448.27392578125	sz	index_cn
399307	sz	399307	100.0	2.0	深证转债	305.5150146484375	sz	index_cn
399310	sz	399310	100.0	2.0	国证A50	6470.26220703125	sz	index_cn
399311	sz	399311	100.0	2.0	国证1000	4208.708984375	sz	index_cn
399312	sz	399312	100.0	2.0	国证300	4644.3662109375	sz	index_cn
399313	sz	399313	100.0	2.0	巨潮100	4746.25	sz	index_cn
399314	sz	399314	100.0	2.0	巨潮大盘	4394.50732421875	sz	index_cn
399315	sz	399315	100.0	2.0	巨潮中盘	4013.736083984375	sz	index_cn
399316	sz	399316	100.0	2.0	巨潮小盘	4971.89697265625	sz	index_cn
399317	sz	399317	100.0	2.0	国证Ａ指	5433.5712890625	sz	index_cn
399318	sz	399318	100.0	2.0	国证Ｂ指	4931.0498046875	sz	index_cn
399319	sz	399319	100.0	2.0	资源优势	2265.4541015625	sz	index_cn
399320	sz	399320	100.0	2.0	国证服务	2102.81982421875	sz	index_cn
399321	sz	399321	100.0	2.0	国证红利	6774.87744140625	sz	index_cn
399322	sz	399322	100.0	2.0	国证治理	8695.259765625	sz	index_cn
399324	sz	399324	100.0	2.0	深证红利	9550.0537109375	sz	index_cn
399326	sz	399326	100.0	2.0	成长40	4395.796875	sz	index_cn
399328	sz	399328	100.0	2.0	深证治理	10448.97265625	sz	index_cn
399330	sz	399330	100.0	2.0	深证100	5105.76220703125	sz	index_cn
399333	sz	399333	100.0	2.0	中小100R	8480.1259765625	sz	index_cn
399335	sz	399335	100.0	2.0	深证央企	4270.21630859375	sz	index_cn
399337	sz	399337	100.0	2.0	深证民营	4834.18017578125	sz	index_cn
399339	sz	399339	100.0	2.0	深证科技	7227.1474609375	sz	index_cn
399341	sz	399341	100.0	2.0	深证责任	1724.15185546875	sz	index_cn
399344	sz	399344	100.0	2.0	深证300R	6008.4794921875	sz	index_cn
399346	sz	399346	100.0	2.0	深证成长	3451.6279296875	sz	index_cn
399348	sz	399348	100.0	2.0	深证价值	6045.7490234375	sz	index_cn
399350	sz	399350	100.0	2.0	皖江30	2618.629638671875	sz	index_cn
399351	sz	399351	100.0	2.0	创新示范	8882.4052734375	sz	index_cn
399352	sz	399352	100.0	2.0	深企综指	8283.005859375	sz	index_cn
399353	sz	399353	100.0	2.0	国证物流	2239.82666015625	sz	index_cn
399354	sz	399354	100.0	2.0	分析师指	7632.05859375	sz	index_cn
399355	sz	399355	100.0	2.0	长三角	3116.715576171875	sz	index_cn
399356	sz	399356	100.0	2.0	珠三角	9298.8251953125	sz	index_cn
399357	sz	399357	100.0	2.0	环渤海	2781.485595703125	sz	index_cn
399358	sz	399358	100.0	2.0	国证环保	5076.26513671875	sz	index_cn
399359	sz	399359	100.0	2.0	国证基建	2751.41943359375	sz	index_cn
399360	sz	399360	100.0	2.0	新硬件	4695.28955078125	sz	index_cn
399361	sz	399361	100.0	2.0	在线消费	3610.505615234375	sz	index_cn
399362	sz	399362	100.0	2.0	民企100	6800.00048828125	sz	index_cn
399363	sz	399363	100.0	2.0	国证算力	4300.703125	sz	index_cn
399364	sz	399364	100.0	2.0	消费100	8685.75390625	sz	index_cn
399365	sz	399365	100.0	2.0	国证粮食	14308.2333984375	sz	index_cn
399366	sz	399366	100.0	2.0	能源金属	1805.2032470703125	sz	index_cn
399367	sz	399367	100.0	2.0	1000地产	3735.700927734375	sz	index_cn
399368	sz	399368	100.0	2.0	国证军工	7331.31591796875	sz	index_cn
399369	sz	399369	100.0	2.0	国证责任	1534.0682373046875	sz	index_cn
399370	sz	399370	100.0	2.0	国证成长	4447.1162109375	sz	index_cn
399371	sz	399371	100.0	2.0	国证价值	6140.66455078125	sz	index_cn
399372	sz	399372	100.0	2.0	大盘成长	4625.2900390625	sz	index_cn
399373	sz	399373	100.0	2.0	大盘价值	7222.23388671875	sz	index_cn
399374	sz	399374	100.0	2.0	中盘成长	4301.546875	sz	index_cn
399375	sz	399375	100.0	2.0	中盘价值	5174.60302734375	sz	index_cn
399376	sz	399376	100.0	2.0	小盘成长	5134.31884765625	sz	index_cn
399377	sz	399377	100.0	2.0	小盘价值	6695.669921875	sz	index_cn
399378	sz	399378	100.0	2.0	ESG 300	2525.122314453125	sz	index_cn
399379	sz	399379	100.0	2.0	国证基金	7559.1201171875	sz	index_cn
399380	sz	399380	100.0	2.0	国证ETF	1495.0836181640625	sz	index_cn
399381	sz	399381	100.0	2.0	1000能源	2720.83349609375	sz	index_cn
399382	sz	399382	100.0	2.0	1000材料	2728.48291015625	sz	index_cn
399383	sz	399383	100.0	2.0	1000工业	2744.068359375	sz	index_cn
399384	sz	399384	100.0	2.0	1000可选	3676.40478515625	sz	index_cn
399385	sz	399385	100.0	2.0	1000消费	12836.724609375	sz	index_cn
399386	sz	399386	100.0	2.0	1000医药	6781.6005859375	sz	index_cn
399387	sz	399387	100.0	2.0	1000金融	4506.49658203125	sz	index_cn
399388	sz	399388	100.0	2.0	1000信息	4331.19677734375	sz	index_cn
399389	sz	399389	100.0	2.0	国证通信	3911.283203125	sz	index_cn
399390	sz	399390	100.0	2.0	1000公用	2422.073974609375	sz	index_cn
399391	sz	399391	100.0	2.0	投资时钟	3360.67431640625	sz	index_cn
399392	sz	399392	100.0	2.0	国证新兴	2556.5888671875	sz	index_cn
399393	sz	399393	100.0	2.0	国证地产	4148.32080078125	sz	index_cn
399394	sz	399394	100.0	2.0	国证医药	9980.48828125	sz	index_cn
399395	sz	399395	100.0	2.0	国证有色	5423.296875	sz	index_cn
399396	sz	399396	100.0	2.0	国证食品	25750.646484375	sz	index_cn
399397	sz	399397	100.0	2.0	国证文化	2234.3212890625	sz	index_cn
399398	sz	399398	100.0	2.0	绩效指数	11409.87890625	sz	index_cn
399399	sz	399399	100.0	2.0	中经GDP	7016.033203125	sz	index_cn
399400	sz	399400	100.0	2.0	大中盘	3581.794921875	sz	index_cn
399401	sz	399401	100.0	2.0	中小盘	4022.089111328125	sz	index_cn
399402	sz	399402	100.0	2.0	周期100	3175.232177734375	sz	index_cn
399403	sz	399403	100.0	2.0	防御100	8797.6513671875	sz	index_cn
399404	sz	399404	100.0	2.0	大盘低波	5547.001953125	sz	index_cn
399405	sz	399405	100.0	2.0	大盘高贝	2231.290283203125	sz	index_cn
399406	sz	399406	100.0	2.0	中盘低波	12285.009765625	sz	index_cn
399407	sz	399407	100.0	2.0	中盘高贝	2336.076416015625	sz	index_cn
399408	sz	399408	100.0	2.0	小盘低波	14513.4365234375	sz	index_cn
399409	sz	399409	100.0	2.0	小盘高贝	4715.123046875	sz	index_cn
399410	sz	399410	100.0	2.0	苏州率先	1975.7564697265625	sz	index_cn
399411	sz	399411	100.0	2.0	红利100	3416.450927734375	sz	index_cn
399412	sz	399412	100.0	2.0	国证新能	2893.388916015625	sz	index_cn
399413	sz	399413	100.0	2.0	国证转债	153.8282012939453	sz	index_cn
399415	sz	399415	100.0	2.0	I100	6365.89208984375	sz	index_cn
399416	sz	399416	100.0	2.0	I300	3566.271484375	sz	index_cn
399417	sz	399417	100.0	2.0	新能源车	3156.98291015625	sz	index_cn
399418	sz	399418	100.0	2.0	国证国安	3811.134521484375	sz	index_cn
399419	sz	399419	100.0	2.0	国证高铁	1883.4749755859375	sz	index_cn
399420	sz	399420	100.0	2.0	国证保证	1282.385498046875	sz	index_cn
399422	sz	399422	100.0	2.0	中关村A	3129.28955078125	sz	index_cn
